date,theta0,theta1,theta2,theta3,lambda1,lambda2,raw_data_json
2024-01-16,1.005523,3.154509,-3.187666,5.153892,2.046928,12.394678,"{""date"": ""2024-01-16"", ""period"": ""16 Jan 2024"", ""beta0"": 1.005523, ""beta1"": 3.154509, ""beta2"": -3.187666, ""beta3"": 5.153892, ""tau1"": 2.046928, ""tau2"": 12.394678}"
2024-01-17,1.000874,3.200865,-2.953692,5.257379,2.070751,12.350401,"{""date"": ""2024-01-17"", ""period"": ""17 Jan 2024"", ""beta0"": 1.000874, ""beta1"": 3.200865, ""beta2"": -2.953692, ""beta3"": 5.257379, ""tau1"": 2.070751, ""tau2"": 12.350401}"
2024-01-18,1.00132,3.158334,-2.935327,5.364203,2.117751,12.370561,"{""date"": ""2024-01-18"", ""period"": ""18 Jan 2024"", ""beta0"": 1.00132, ""beta1"": 3.158334, ""beta2"": -2.935327, ""beta3"": 5.364203, ""tau1"": 2.117751, ""tau2"": 12.370561}"
2024-01-19,1.000654,3.14747,-2.648912,5.254677,1.971834,12.23027,"{""date"": ""2024-01-19"", ""period"": ""19 Jan 2024"", ""beta0"": 1.000654, ""beta1"": 3.14747, ""beta2"": -2.648912, ""beta3"": 5.254677, ""tau1"": 1.971834, ""tau2"": 12.23027}"
2024-01-22,1.039646,3.186419,-2.776354,4.948563,1.926733,12.104406,"{""date"": ""2024-01-22"", ""period"": ""22 Jan 2024"", ""beta0"": 1.039646, ""beta1"": 3.186419, ""beta2"": -2.776354, ""beta3"": 4.948563, ""tau1"": 1.926733, ""tau2"": 12.104406}"
2024-01-23,1.024962,3.176994,-2.765659,5.212884,1.971464,12.108989,"{""date"": ""2024-01-23"", ""period"": ""23 Jan 2024"", ""beta0"": 1.024962, ""beta1"": 3.176994, ""beta2"": -2.765659, ""beta3"": 5.212884, ""tau1"": 1.971464, ""tau2"": 12.108989}"
2024-01-24,1.022804,3.17387,-2.787363,5.212466,1.96998,12.050015,"{""date"": ""2024-01-24"", ""period"": ""24 Jan 2024"", ""beta0"": 1.022804, ""beta1"": 3.17387, ""beta2"": -2.787363, ""beta3"": 5.212466, ""tau1"": 1.96998, ""tau2"": 12.050015}"
2024-01-25,1.020907,3.124089,-2.745004,5.183563,1.89264,12.032376,"{""date"": ""2024-01-25"", ""period"": ""25 Jan 2024"", ""beta0"": 1.020907, ""beta1"": 3.124089, ""beta2"": -2.745004, ""beta3"": 5.183563, ""tau1"": 1.89264, ""tau2"": 12.032376}"
2024-01-26,1.043022,3.159867,-2.738651,5.147941,1.803912,11.933108,"{""date"": ""2024-01-26"", ""period"": ""26 Jan 2024"", ""beta0"": 1.043022, ""beta1"": 3.159867, ""beta2"": -2.738651, ""beta3"": 5.147941, ""tau1"": 1.803912, ""tau2"": 11.933108}"
2024-01-29,1.039591,3.175042,-2.977679,5.045426,1.817315,11.855583,"{""date"": ""2024-01-29"", ""period"": ""29 Jan 2024"", ""beta0"": 1.039591, ""beta1"": 3.175042, ""beta2"": -2.977679, ""beta3"": 5.045426, ""tau1"": 1.817315, ""tau2"": 11.855583}"
2024-01-30,1.00968,3.167329,-2.801769,5.128486,1.78262,12.054948,"{""date"": ""2024-01-30"", ""period"": ""30 Jan 2024"", ""beta0"": 1.00968, ""beta1"": 3.167329, ""beta2"": -2.801769, ""beta3"": 5.128486, ""tau1"": 1.78262, ""tau2"": 12.054948}"
2024-01-31,1.015488,3.135896,-2.965928,4.950793,1.815529,11.997188,"{""date"": ""2024-01-31"", ""period"": ""31 Jan 2024"", ""beta0"": 1.015488, ""beta1"": 3.135896, ""beta2"": -2.965928, ""beta3"": 4.950793, ""tau1"": 1.815529, ""tau2"": 11.997188}"
2024-02-01,1.025462,3.131119,-2.888749,4.821188,1.783573,12.014543,"{""date"": ""2024-02-01"", ""period"": ""01 Feb 2024"", ""beta0"": 1.025462, ""beta1"": 3.131119, ""beta2"": -2.888749, ""beta3"": 4.821188, ""tau1"": 1.783573, ""tau2"": 12.014543}"
2024-02-02,1.047213,3.141485,-2.844574,4.788849,1.884759,12.206777,"{""date"": ""2024-02-02"", ""period"": ""02 Feb 2024"", ""beta0"": 1.047213, ""beta1"": 3.141485, ""beta2"": -2.844574, ""beta3"": 4.788849, ""tau1"": 1.884759, ""tau2"": 12.206777}"
2024-02-05,1.072702,3.115028,-2.582165,4.951361,1.820299,12.134378,"{""date"": ""2024-02-05"", ""period"": ""05 Feb 2024"", ""beta0"": 1.072702, ""beta1"": 3.115028, ""beta2"": -2.582165, ""beta3"": 4.951361, ""tau1"": 1.820299, ""tau2"": 12.134378}"
2024-02-06,1.048701,3.103844,-2.60843,5.097318,1.88329,12.208092,"{""date"": ""2024-02-06"", ""period"": ""06 Feb 2024"", ""beta0"": 1.048701, ""beta1"": 3.103844, ""beta2"": -2.60843, ""beta3"": 5.097318, ""tau1"": 1.88329, ""tau2"": 12.208092}"
2024-02-07,1.053972,3.106706,-2.627585,5.049374,1.859582,12.23215,"{""date"": ""2024-02-07"", ""period"": ""07 Feb 2024"", ""beta0"": 1.053972, ""beta1"": 3.106706, ""beta2"": -2.627585, ""beta3"": 5.049374, ""tau1"": 1.859582, ""tau2"": 12.23215}"
2024-02-08,1.038521,3.097903,-2.475124,5.187737,1.899331,12.13841,"{""date"": ""2024-02-08"", ""period"": ""08 Feb 2024"", ""beta0"": 1.038521, ""beta1"": 3.097903, ""beta2"": -2.475124, ""beta3"": 5.187737, ""tau1"": 1.899331, ""tau2"": 12.13841}"
2024-02-09,1.007126,3.098153,-2.307911,5.32,1.949786,12.196048,"{""date"": ""2024-02-09"", ""period"": ""09 Feb 2024"", ""beta0"": 1.007126, ""beta1"": 3.098153, ""beta2"": -2.307911, ""beta3"": 5.32, ""tau1"": 1.949786, ""tau2"": 12.196048}"
2024-02-12,1.040943,3.113736,-2.330082,5.181946,1.893625,12.24502,"{""date"": ""2024-02-12"", ""period"": ""12 Feb 2024"", ""beta0"": 1.040943, ""beta1"": 3.113736, ""beta2"": -2.330082, ""beta3"": 5.181946, ""tau1"": 1.893625, ""tau2"": 12.24502}"
2024-02-13,0.998358,3.1247,-2.259349,5.294182,1.986211,12.250661,"{""date"": ""2024-02-13"", ""period"": ""13 Feb 2024"", ""beta0"": 0.998358, ""beta1"": 3.1247, ""beta2"": -2.259349, ""beta3"": 5.294182, ""tau1"": 1.986211, ""tau2"": 12.250661}"
2024-02-14,0.990927,3.121491,-2.505511,5.360349,2.164826,12.185513,"{""date"": ""2024-02-14"", ""period"": ""14 Feb 2024"", ""beta0"": 0.990927, ""beta1"": 3.121491, ""beta2"": -2.505511, ""beta3"": 5.360349, ""tau1"": 2.164826, ""tau2"": 12.185513}"
2024-02-15,1.006838,3.091165,-2.620749,5.1741,2.22279,12.280369,"{""date"": ""2024-02-15"", ""period"": ""15 Feb 2024"", ""beta0"": 1.006838, ""beta1"": 3.091165, ""beta2"": -2.620749, ""beta3"": 5.1741, ""tau1"": 2.22279, ""tau2"": 12.280369}"
2024-02-16,0.994919,3.090776,-2.308645,5.294686,2.213506,12.219307,"{""date"": ""2024-02-16"", ""period"": ""16 Feb 2024"", ""beta0"": 0.994919, ""beta1"": 3.090776, ""beta2"": -2.308645, ""beta3"": 5.294686, ""tau1"": 2.213506, ""tau2"": 12.219307}"
2024-02-19,1.035538,3.050205,-2.455372,5.27021,2.275074,12.25052,"{""date"": ""2024-02-19"", ""period"": ""19 Feb 2024"", ""beta0"": 1.035538, ""beta1"": 3.050205, ""beta2"": -2.455372, ""beta3"": 5.27021, ""tau1"": 2.275074, ""tau2"": 12.25052}"
2024-02-20,1.048424,3.025773,-2.475404,5.120954,2.218056,12.086514,"{""date"": ""2024-02-20"", ""period"": ""20 Feb 2024"", ""beta0"": 1.048424, ""beta1"": 3.025773, ""beta2"": -2.475404, ""beta3"": 5.120954, ""tau1"": 2.218056, ""tau2"": 12.086514}"
2024-02-21,1.055841,3.022112,-2.308777,5.157579,2.188954,12.350936,"{""date"": ""2024-02-21"", ""period"": ""21 Feb 2024"", ""beta0"": 1.055841, ""beta1"": 3.022112, ""beta2"": -2.308777, ""beta3"": 5.157579, ""tau1"": 2.188954, ""tau2"": 12.350936}"
2024-02-22,1.008923,3.070828,-2.038923,5.121349,2.182929,12.439471,"{""date"": ""2024-02-22"", ""period"": ""22 Feb 2024"", ""beta0"": 1.008923, ""beta1"": 3.070828, ""beta2"": -2.038923, ""beta3"": 5.121349, ""tau1"": 2.182929, ""tau2"": 12.439471}"
2024-02-23,0.999832,3.075363,-2.12883,5.044622,2.216478,12.458503,"{""date"": ""2024-02-23"", ""period"": ""23 Feb 2024"", ""beta0"": 0.999832, ""beta1"": 3.075363, ""beta2"": -2.12883, ""beta3"": 5.044622, ""tau1"": 2.216478, ""tau2"": 12.458503}"
2024-02-26,0.978335,3.085988,-2.389321,5.311771,2.461398,12.310346,"{""date"": ""2024-02-26"", ""period"": ""26 Feb 2024"", ""beta0"": 0.978335, ""beta1"": 3.085988, ""beta2"": -2.389321, ""beta3"": 5.311771, ""tau1"": 2.461398, ""tau2"": 12.310346}"
2024-02-27,0.93853,3.105947,-2.452209,5.587405,2.519232,12.294571,"{""date"": ""2024-02-27"", ""period"": ""27 Feb 2024"", ""beta0"": 0.93853, ""beta1"": 3.105947, ""beta2"": -2.452209, ""beta3"": 5.587405, ""tau1"": 2.519232, ""tau2"": 12.294571}"
2024-02-28,0.935749,3.100161,-2.346284,5.619842,2.478594,12.266263,"{""date"": ""2024-02-28"", ""period"": ""28 Feb 2024"", ""beta0"": 0.935749, ""beta1"": 3.100161, ""beta2"": -2.346284, ""beta3"": 5.619842, ""tau1"": 2.478594, ""tau2"": 12.266263}"
2024-02-29,0.921227,3.108008,-2.361584,5.503357,2.499444,12.178836,"{""date"": ""2024-02-29"", ""period"": ""29 Feb 2024"", ""beta0"": 0.921227, ""beta1"": 3.108008, ""beta2"": -2.361584, ""beta3"": 5.503357, ""tau1"": 2.499444, ""tau2"": 12.178836}"
2024-03-01,0.926104,3.110284,-2.488821,5.67546,2.519686,12.133567,"{""date"": ""2024-03-01"", ""period"": ""01 Mar 2024"", ""beta0"": 0.926104, ""beta1"": 3.110284, ""beta2"": -2.488821, ""beta3"": 5.67546, ""tau1"": 2.519686, ""tau2"": 12.133567}"
2024-03-04,0.914936,3.112524,-2.71756,5.623669,2.651883,12.322504,"{""date"": ""2024-03-04"", ""period"": ""04 Mar 2024"", ""beta0"": 0.914936, ""beta1"": 3.112524, ""beta2"": -2.71756, ""beta3"": 5.623669, ""tau1"": 2.651883, ""tau2"": 12.322504}"
2024-03-05,0.889977,3.109614,-2.786777,5.472678,2.717056,12.315923,"{""date"": ""2024-03-05"", ""period"": ""05 Mar 2024"", ""beta0"": 0.889977, ""beta1"": 3.109614, ""beta2"": -2.786777, ""beta3"": 5.472678, ""tau1"": 2.717056, ""tau2"": 12.315923}"
2024-03-06,0.889221,3.118112,-2.807293,5.482602,2.702252,12.333848,"{""date"": ""2024-03-06"", ""period"": ""06 Mar 2024"", ""beta0"": 0.889221, ""beta1"": 3.118112, ""beta2"": -2.807293, ""beta3"": 5.482602, ""tau1"": 2.702252, ""tau2"": 12.333848}"
2024-03-07,0.894448,3.114951,-2.904477,5.452734,2.774478,12.372612,"{""date"": ""2024-03-07"", ""period"": ""07 Mar 2024"", ""beta0"": 0.894448, ""beta1"": 3.114951, ""beta2"": -2.904477, ""beta3"": 5.452734, ""tau1"": 2.774478, ""tau2"": 12.372612}"
2024-03-08,0.893298,3.116532,-2.939232,5.41258,2.604584,12.350537,"{""date"": ""2024-03-08"", ""period"": ""08 Mar 2024"", ""beta0"": 0.893298, ""beta1"": 3.116532, ""beta2"": -2.939232, ""beta3"": 5.41258, ""tau1"": 2.604584, ""tau2"": 12.350537}"
2024-03-11,0.89333,3.12046,-2.706222,5.45886,2.531498,12.383828,"{""date"": ""2024-03-11"", ""period"": ""11 Mar 2024"", ""beta0"": 0.89333, ""beta1"": 3.12046, ""beta2"": -2.706222, ""beta3"": 5.45886, ""tau1"": 2.531498, ""tau2"": 12.383828}"
2024-03-12,0.856708,3.179692,-2.639687,5.528149,2.555007,12.281147,"{""date"": ""2024-03-12"", ""period"": ""12 Mar 2024"", ""beta0"": 0.856708, ""beta1"": 3.179692, ""beta2"": -2.639687, ""beta3"": 5.528149, ""tau1"": 2.555007, ""tau2"": 12.281147}"
2024-03-13,0.853074,3.193811,-2.357708,5.48442,2.389556,12.362634,"{""date"": ""2024-03-13"", ""period"": ""13 Mar 2024"", ""beta0"": 0.853074, ""beta1"": 3.193811, ""beta2"": -2.357708, ""beta3"": 5.48442, ""tau1"": 2.389556, ""tau2"": 12.362634}"
2024-03-14,0.840473,3.202999,-2.204007,5.722943,2.343749,12.208801,"{""date"": ""2024-03-14"", ""period"": ""14 Mar 2024"", ""beta0"": 0.840473, ""beta1"": 3.202999, ""beta2"": -2.204007, ""beta3"": 5.722943, ""tau1"": 2.343749, ""tau2"": 12.208801}"
2024-03-15,0.870938,3.183196,-2.205681,5.628061,2.398452,12.251224,"{""date"": ""2024-03-15"", ""period"": ""15 Mar 2024"", ""beta0"": 0.870938, ""beta1"": 3.183196, ""beta2"": -2.205681, ""beta3"": 5.628061, ""tau1"": 2.398452, ""tau2"": 12.251224}"
2024-03-18,0.885278,3.160634,-2.17082,5.640908,2.372676,12.257813,"{""date"": ""2024-03-18"", ""period"": ""18 Mar 2024"", ""beta0"": 0.885278, ""beta1"": 3.160634, ""beta2"": -2.17082, ""beta3"": 5.640908, ""tau1"": 2.372676, ""tau2"": 12.257813}"
2024-03-19,0.894716,3.149408,-2.448452,5.724953,2.466018,12.332218,"{""date"": ""2024-03-19"", ""period"": ""19 Mar 2024"", ""beta0"": 0.894716, ""beta1"": 3.149408, ""beta2"": -2.448452, ""beta3"": 5.724953, ""tau1"": 2.466018, ""tau2"": 12.332218}"
2024-03-20,0.888627,3.160482,-2.240385,5.599295,2.387301,12.33347,"{""date"": ""2024-03-20"", ""period"": ""20 Mar 2024"", ""beta0"": 0.888627, ""beta1"": 3.160482, ""beta2"": -2.240385, ""beta3"": 5.599295, ""tau1"": 2.387301, ""tau2"": 12.33347}"
2024-03-21,0.917612,3.14251,-2.49181,5.635543,2.420262,12.312327,"{""date"": ""2024-03-21"", ""period"": ""21 Mar 2024"", ""beta0"": 0.917612, ""beta1"": 3.14251, ""beta2"": -2.49181, ""beta3"": 5.635543, ""tau1"": 2.420262, ""tau2"": 12.312327}"
2024-03-22,0.859129,3.128591,-2.907682,5.741578,2.672114,12.143449,"{""date"": ""2024-03-22"", ""period"": ""22 Mar 2024"", ""beta0"": 0.859129, ""beta1"": 3.128591, ""beta2"": -2.907682, ""beta3"": 5.741578, ""tau1"": 2.672114, ""tau2"": 12.143449}"
2024-03-25,0.847937,3.119724,-2.601403,5.715128,2.611985,12.084337,"{""date"": ""2024-03-25"", ""period"": ""25 Mar 2024"", ""beta0"": 0.847937, ""beta1"": 3.119724, ""beta2"": -2.601403, ""beta3"": 5.715128, ""tau1"": 2.611985, ""tau2"": 12.084337}"
2024-03-26,0.844799,3.110484,-2.908569,5.839316,2.788064,11.985885,"{""date"": ""2024-03-26"", ""period"": ""26 Mar 2024"", ""beta0"": 0.844799, ""beta1"": 3.110484, ""beta2"": -2.908569, ""beta3"": 5.839316, ""tau1"": 2.788064, ""tau2"": 11.985885}"
2024-03-27,0.850458,3.120668,-2.853653,5.604183,2.640331,11.994946,"{""date"": ""2024-03-27"", ""period"": ""27 Mar 2024"", ""beta0"": 0.850458, ""beta1"": 3.120668, ""beta2"": -2.853653, ""beta3"": 5.604183, ""tau1"": 2.640331, ""tau2"": 11.994946}"
2024-03-28,0.869438,3.12492,-2.670601,5.427861,2.520762,11.928666,"{""date"": ""2024-03-28"", ""period"": ""28 Mar 2024"", ""beta0"": 0.869438, ""beta1"": 3.12492, ""beta2"": -2.670601, ""beta3"": 5.427861, ""tau1"": 2.520762, ""tau2"": 11.928666}"
2024-04-02,0.853369,3.117231,-2.539239,5.928586,2.452239,11.918371,"{""date"": ""2024-04-02"", ""period"": ""02 Apr 2024"", ""beta0"": 0.853369, ""beta1"": 3.117231, ""beta2"": -2.539239, ""beta3"": 5.928586, ""tau1"": 2.452239, ""tau2"": 11.918371}"
2024-04-03,0.848695,3.147694,-2.584597,5.936643,2.478046,11.917577,"{""date"": ""2024-04-03"", ""period"": ""03 Apr 2024"", ""beta0"": 0.848695, ""beta1"": 3.147694, ""beta2"": -2.584597, ""beta3"": 5.936643, ""tau1"": 2.478046, ""tau2"": 11.917577}"
2024-04-04,0.826411,3.183859,-2.665657,5.7805,2.473687,11.958057,"{""date"": ""2024-04-04"", ""period"": ""04 Apr 2024"", ""beta0"": 0.826411, ""beta1"": 3.183859, ""beta2"": -2.665657, ""beta3"": 5.7805, ""tau1"": 2.473687, ""tau2"": 11.958057}"
2024-04-05,0.810945,3.186207,-2.807376,5.997782,2.609493,11.916737,"{""date"": ""2024-04-05"", ""period"": ""05 Apr 2024"", ""beta0"": 0.810945, ""beta1"": 3.186207, ""beta2"": -2.807376, ""beta3"": 5.997782, ""tau1"": 2.609493, ""tau2"": 11.916737}"
2024-04-08,0.805558,3.155945,-2.394516,5.947721,2.478746,11.856419,"{""date"": ""2024-04-08"", ""period"": ""08 Apr 2024"", ""beta0"": 0.805558, ""beta1"": 3.155945, ""beta2"": -2.394516, ""beta3"": 5.947721, ""tau1"": 2.478746, ""tau2"": 11.856419}"
2024-04-09,0.804466,3.195464,-2.552307,5.791377,2.535192,11.895376,"{""date"": ""2024-04-09"", ""period"": ""09 Apr 2024"", ""beta0"": 0.804466, ""beta1"": 3.195464, ""beta2"": -2.552307, ""beta3"": 5.791377, ""tau1"": 2.535192, ""tau2"": 11.895376}"
2024-04-10,0.789432,3.198544,-3.937374,6.617492,3.077428,9.829243,"{""date"": ""2024-04-10"", ""period"": ""10 Apr 2024"", ""beta0"": 0.789432, ""beta1"": 3.198544, ""beta2"": -3.937374, ""beta3"": 6.617492, ""tau1"": 3.077428, ""tau2"": 9.829243}"
2024-04-11,0.783606,3.189655,-4.028967,6.861081,3.130153,9.831987,"{""date"": ""2024-04-11"", ""period"": ""11 Apr 2024"", ""beta0"": 0.783606, ""beta1"": 3.189655, ""beta2"": -4.028967, ""beta3"": 6.861081, ""tau1"": 3.130153, ""tau2"": 9.831987}"
2024-04-12,0.784304,3.180909,-4.090315,6.534526,3.018813,9.830185,"{""date"": ""2024-04-12"", ""period"": ""12 Apr 2024"", ""beta0"": 0.784304, ""beta1"": 3.180909, ""beta2"": -4.090315, ""beta3"": 6.534526, ""tau1"": 3.018813, ""tau2"": 9.830185}"
2024-04-15,0.753483,3.146255,-3.538722,6.651324,2.931201,10.177098,"{""date"": ""2024-04-15"", ""period"": ""15 Apr 2024"", ""beta0"": 0.753483, ""beta1"": 3.146255, ""beta2"": -3.538722, ""beta3"": 6.651324, ""tau1"": 2.931201, ""tau2"": 10.177098}"
2024-04-16,0.772993,3.138514,-3.329496,6.694808,2.855849,10.347039,"{""date"": ""2024-04-16"", ""period"": ""16 Apr 2024"", ""beta0"": 0.772993, ""beta1"": 3.138514, ""beta2"": -3.329496, ""beta3"": 6.694808, ""tau1"": 2.855849, ""tau2"": 10.347039}"
2024-04-17,0.779258,3.142314,-3.470973,6.65365,2.93362,10.209181,"{""date"": ""2024-04-17"", ""period"": ""17 Apr 2024"", ""beta0"": 0.779258, ""beta1"": 3.142314, ""beta2"": -3.470973, ""beta3"": 6.65365, ""tau1"": 2.93362, ""tau2"": 10.209181}"
2024-04-18,0.771581,3.13614,-3.057099,6.4732,2.848601,10.598576,"{""date"": ""2024-04-18"", ""period"": ""18 Apr 2024"", ""beta0"": 0.771581, ""beta1"": 3.13614, ""beta2"": -3.057099, ""beta3"": 6.4732, ""tau1"": 2.848601, ""tau2"": 10.598576}"
2024-04-19,0.767524,3.132557,-2.964937,6.488088,2.929401,10.7424,"{""date"": ""2024-04-19"", ""period"": ""19 Apr 2024"", ""beta0"": 0.767524, ""beta1"": 3.132557, ""beta2"": -2.964937, ""beta3"": 6.488088, ""tau1"": 2.929401, ""tau2"": 10.7424}"
2024-04-22,0.770697,3.129323,-3.072377,6.564028,2.871857,10.679093,"{""date"": ""2024-04-22"", ""period"": ""22 Apr 2024"", ""beta0"": 0.770697, ""beta1"": 3.129323, ""beta2"": -3.072377, ""beta3"": 6.564028, ""tau1"": 2.871857, ""tau2"": 10.679093}"
2024-04-23,0.783726,3.094884,-2.901032,6.389308,2.830207,10.737601,"{""date"": ""2024-04-23"", ""period"": ""23 Apr 2024"", ""beta0"": 0.783726, ""beta1"": 3.094884, ""beta2"": -2.901032, ""beta3"": 6.389308, ""tau1"": 2.830207, ""tau2"": 10.737601}"
2024-04-24,0.793966,3.078906,-2.985841,6.713454,2.965668,10.76575,"{""date"": ""2024-04-24"", ""period"": ""24 Apr 2024"", ""beta0"": 0.793966, ""beta1"": 3.078906, ""beta2"": -2.985841, ""beta3"": 6.713454, ""tau1"": 2.965668, ""tau2"": 10.76575}"
2024-04-25,0.800291,3.085896,-2.977309,6.852752,3.056478,10.834817,"{""date"": ""2024-04-25"", ""period"": ""25 Apr 2024"", ""beta0"": 0.800291, ""beta1"": 3.085896, ""beta2"": -2.977309, ""beta3"": 6.852752, ""tau1"": 3.056478, ""tau2"": 10.834817}"
2024-04-26,0.806118,3.068545,-3.033317,6.606676,3.061852,10.799105,"{""date"": ""2024-04-26"", ""period"": ""26 Apr 2024"", ""beta0"": 0.806118, ""beta1"": 3.068545, ""beta2"": -3.033317, ""beta3"": 6.606676, ""tau1"": 3.061852, ""tau2"": 10.799105}"
2024-04-29,0.795083,3.07214,-3.087861,6.589495,3.037496,10.776578,"{""date"": ""2024-04-29"", ""period"": ""29 Apr 2024"", ""beta0"": 0.795083, ""beta1"": 3.07214, ""beta2"": -3.087861, ""beta3"": 6.589495, ""tau1"": 3.037496, ""tau2"": 10.776578}"
2024-04-30,0.810164,3.089783,-3.094179,6.632425,3.17502,10.834675,"{""date"": ""2024-04-30"", ""period"": ""30 Apr 2024"", ""beta0"": 0.810164, ""beta1"": 3.089783, ""beta2"": -3.094179, ""beta3"": 6.632425, ""tau1"": 3.17502, ""tau2"": 10.834675}"
2024-05-02,0.803341,3.085711,-3.025732,6.55092,3.08828,10.762684,"{""date"": ""2024-05-02"", ""period"": ""02 May 2024"", ""beta0"": 0.803341, ""beta1"": 3.085711, ""beta2"": -3.025732, ""beta3"": 6.55092, ""tau1"": 3.08828, ""tau2"": 10.762684}"
2024-05-03,0.756884,3.080959,-3.210987,6.606746,3.149254,10.755513,"{""date"": ""2024-05-03"", ""period"": ""03 May 2024"", ""beta0"": 0.756884, ""beta1"": 3.080959, ""beta2"": -3.210987, ""beta3"": 6.606746, ""tau1"": 3.149254, ""tau2"": 10.755513}"
2024-05-06,0.790312,3.070425,-3.624898,6.702288,3.316607,10.729179,"{""date"": ""2024-05-06"", ""period"": ""06 May 2024"", ""beta0"": 0.790312, ""beta1"": 3.070425, ""beta2"": -3.624898, ""beta3"": 6.702288, ""tau1"": 3.316607, ""tau2"": 10.729179}"
2024-05-07,0.768446,3.082767,-3.853151,6.779908,3.424758,10.587747,"{""date"": ""2024-05-07"", ""period"": ""07 May 2024"", ""beta0"": 0.768446, ""beta1"": 3.082767, ""beta2"": -3.853151, ""beta3"": 6.779908, ""tau1"": 3.424758, ""tau2"": 10.587747}"
2024-05-08,0.767214,3.073734,-3.750566,6.827636,3.416638,10.535163,"{""date"": ""2024-05-08"", ""period"": ""08 May 2024"", ""beta0"": 0.767214, ""beta1"": 3.073734, ""beta2"": -3.750566, ""beta3"": 6.827636, ""tau1"": 3.416638, ""tau2"": 10.535163}"
2024-05-09,0.767238,3.071596,-3.782534,7.01457,3.446064,10.668248,"{""date"": ""2024-05-09"", ""period"": ""09 May 2024"", ""beta0"": 0.767238, ""beta1"": 3.071596, ""beta2"": -3.782534, ""beta3"": 7.01457, ""tau1"": 3.446064, ""tau2"": 10.668248}"
2024-05-10,0.782373,3.069707,-3.580414,6.830357,3.385839,10.698421,"{""date"": ""2024-05-10"", ""period"": ""10 May 2024"", ""beta0"": 0.782373, ""beta1"": 3.069707, ""beta2"": -3.580414, ""beta3"": 6.830357, ""tau1"": 3.385839, ""tau2"": 10.698421}"
2024-05-13,0.778453,3.068747,-3.492631,6.788126,3.32943,10.817756,"{""date"": ""2024-05-13"", ""period"": ""13 May 2024"", ""beta0"": 0.778453, ""beta1"": 3.068747, ""beta2"": -3.492631, ""beta3"": 6.788126, ""tau1"": 3.32943, ""tau2"": 10.817756}"
